razotajs,modelis,marka,gads,tilpums,dzinejs,nobraukums,cena,apraksts,bilde,saite
Volkswagen,Golf 4,Volkswagen Golf 4,1999,1.6,Benzīns,197,790,"1.6i Highline salons. 3-žuburu stūre, klimatkontrole. Ekonomisks aut",https://i.ss.lv/gallery/5/848/211993/42398415.th2.jpg,/msg/lv/transport/cars/volkswagen/golf-4/gebxd.html
Volkswagen,Golf 4,Volkswagen Golf 4,2003,2.0,Benzīns,270,990,"2.0i Pacifica Edition. Highline. Universāls, pilnais mūzikas centrs ar i",https://i.ss.lv/gallery/5/849/212032/42406361.th2.jpg,/msg/lv/transport/cars/volkswagen/golf-4/dkhpl.html
Chevrolet,Captiva,Chevrolet Captiva,2007,2.0,Dīzelis,174,4990,"2.0D 4x4 Automāts. Pusādas sēdekļi, klimatkontrole, multistūre, borta ko",https://i.ss.lv/gallery/5/820/204772/40954271.th2.jpg,/msg/lv/transport/cars/chevrolet/captiva/bclmx.html
Volkswagen,Touran,Volkswagen Touran,2011,1.6,Dīzelis,263,5300,Pārdodam automašīnu VW Touran. Pirms auto iegādes ir iespēja veikt p,https://i.ss.lv/gallery/5/847/211682/42336342.th2.jpg,/msg/lv/transport/cars/volkswagen/touran/bgpgex.html
Infinity,FX,Infinity FX,2011,3.0,Dīzelis,259,14600,"Automašīna ar pārbaudītu vēsturi. Infinit FX 3.0d 238zs, Key les",https://i.ss.lv/gallery/5/820/204884/40976635.th2.jpg,/msg/lv/transport/cars/infiniti/fx/bnphd.html
Renault,Trafic,Renault Trafic,2008,2.0,Dīzelis,191,4300,"2.0d 84kw 2008 gada Tikko no Vācijas Izcilā stāvoklī. centrālā atslēga, ",https://i.ss.lv/gallery/5/851/212604/42520723.th2.jpg,/msg/lv/transport/cars/renault/trafic/hedmh.html
Volkswagen,Transporter,Volkswagen Transporter,1992,2.1,Benzīns,265,11500,VW Transporter 2.1i automātiskā ātrumkārba. Restaurācijas darbi pabe,https://i.ss.lv/gallery/4/770/192355/38470818.th2.jpg,/msg/lv/transport/cars/volkswagen/transporter/bllhb.html
Mercedes,C180,Mercedes C180,2016,1.8,Dīzelis,198,14500,Laba tehniska stāvokli,https://i.ss.lv/gallery/5/816/203949/40789714.th2.jpg,/msg/lv/transport/cars/mercedes/c180/cpdgx.html
Volkswagen,Golf Plus,Volkswagen Golf Plus,2006,1.9,Dīzelis,313,3490,"1.9Tdi Automāts, navigācija, klimatkontrole, borta kompjūters. Tikko",https://i.ss.lv/gallery/5/851/212545/42508863.th2.jpg,/msg/lv/transport/cars/volkswagen/golf-plus/bpcjdg.html
Smart,ForTwo,Smart ForTwo,2001,0.6,Benzīns,152,1450,"Pārdod Smart ļoti labā stāvoklī, motors savests pilna kārtībā (turbīnas ",https://i.ss.lv/gallery/5/843/210594/42118629.th2.jpg,/msg/lv/transport/cars/smart/fortwo/boimf.html
Volkswagen,Jetta,Volkswagen Jetta,2016,1.4,Benzīns,188,7500,Pārdodu 2016 VW Jetta 1.4 Tsi(125zs) benzīns. Reālais degvielas patēriņš,https://i.ss.lv/gallery/5/840/209893/41978466.th2.jpg,/msg/lv/transport/cars/volkswagen/jetta/apill.html
Volkswagen,Phaeton,Volkswagen Phaeton,2007,3.0,Dīzelis,255,6000,Pārdodam automašīnu VW Phaeton 3.0Tdi. Pirms auto iegādes ir iespēja,https://i.ss.lv/gallery/5/847/211683/42336517.th2.jpg,/msg/lv/transport/cars/volkswagen/phaeton/aeoem.html
Bmw,X5,Bmw X5,2003,3.0,Dīzelis,441,3100,Новый ТО до 30.09.2022Налог заплачен. Машина в Латвии с 2017 года. ,https://i.ss.lv/gallery/5/851/212569/42513767.th2.jpg,/msg/lv/transport/cars/bmw/x5/benkbo.html
Opel,Vectra,Opel Vectra,1997,1.8,Benzīns,357,160,Opel vectra. 97g. 1.8 16v dzinējs. Manuālis. Noņemts no uzskaites. Dzinē,https://i.ss.lv/gallery/5/830/207279/41455691.th2.jpg,/msg/lv/transport/cars/opel/vectra/dnkbg.html
Opel,Mokka,Opel Mokka,2017,1.6,Dīzelis,120,14500,"Mokka X - pirkta jauna Latvijā ; nobraukums 100 % origināls , visas apko",https://i.ss.lv/gallery/5/842/210500/42099946.th2.jpg,/msg/lv/transport/cars/opel/mokka/boppdi.html
Volvo,XC 60,Volvo XC 60,2009,2.4,Dīzelis,361,7900,"Продаю срочно, недорого Volvo Xc60, 2.4 дизель, 151kw/205 л. с. , средни",https://i.ss.lv/gallery/5/849/212203/42440426.th2.jpg,/msg/lv/transport/cars/volvo/xc60/bxfexf.html
Bmw,X5,Bmw X5,2006,3.0,Dīzelis,315,9900,"BMW X5 3.0D IndividualPirkta jauna Vācijā, viens saimnieks. Oriģināl",https://i.ss.lv/gallery/4/772/192982/38596245.th2.jpg,/msg/lv/transport/cars/bmw/x5/bkgfoc.html
Bmw,X5,Bmw X5,2007,3.0,Dīzelis,470,11500,"BMW X5M-Paka. Jauns motors un karba ar reduktoru, mainita no reatailinga",https://i.ss.lv/gallery/5/842/210479/42095749.th2.jpg,/msg/lv/transport/cars/bmw/x5/bilpxp.html
Toyota,Land Cruiser,Toyota Land Cruiser,2007,3.0,Dīzelis,250,10900,3.0Tdi;d4D;190 лошадей. Новый техосмотр. История обслуживания. Хорошая к,https://i.ss.lv/gallery/5/844/210905/42180918.th2.jpg,/msg/lv/transport/cars/toyota/land-cruiser/coopk.html
Audi,RS6,Audi RS6,2003,4.2,Benzīns,320,10850,"Jaudīgs Audi Rs6 331kw/450zs, izcila V8 dzinēja skaņa, uzstādīti KW koil",https://i.ss.lv/gallery/4/794/198491/39698030.th2.jpg,/msg/lv/transport/cars/audi/rs6/ahobf.html
Peugeot,308,Peugeot 308,2014,1.6,Dīzelis,249,6650,249000km pārbaudāms un pierādāms nobraukums. Pārdod Peugeot 308sw ar l,https://i.ss.lv/gallery/5/845/211199/42239645.th2.jpg,/msg/lv/transport/cars/peugeot/308/bmhxdc.html
Volvo,S60,Volvo S60,2008,2.4,Dīzelis,210,3990,"2.4d Automāts, pusādas sēdekļi, klimatkontrole, multistūre, kruīzkontrol",https://i.ss.lv/gallery/5/851/212530/42505849.th2.jpg,/msg/lv/transport/cars/volvo/s60/hdkel.html
Volkswagen,Golf 7,Volkswagen Golf 7,2017,1.6,Dīzelis,258,9900,Tikko ievests VW Golf 7 Hečbeks ar bagātu Allstar komplektāciju. Automāš,https://i.ss.lv/gallery/5/839/209564/41912707.th2.jpg,/msg/lv/transport/cars/volkswagen/golf-7/bmkijc.html
Bmw,530,Bmw 530,2009,3.0,Dīzelis,410,7500,Pārdod vai maina pret citu BMW ļoti labi komplektētu e61 3.0d145kw Xdriv,https://i.ss.lv/gallery/5/839/209589/41917606.th2.jpg,/msg/lv/transport/cars/bmw/530/bkdkl.html
Land Rover,Range Rover Sport,Land Rover Range Rover Sport,2007,2.7,Dīzelis,273,7350,Auto ir ievests no Vācijas. Ļoti labā tehniskā un vizuālā stāvoklī. Visi,https://i.ss.lv/gallery/5/834/208441/41688140.th2.jpg,/msg/lv/transport/cars/land-rover/range-rover-sport/bffolf.html
